CURSO;MÓDULO;DISCIPLINA;OPTATIVA
ADS;1º Semestre;Desenvolvimento de Interfaces para Web;NÃO
ADS;1º Semestre;Experiência do Usuário e Design de Interface;NÃO
ADS;1º Semestre;Fundamentos Computacionais;NÃO
ADS;1º Semestre;Lógica de Programação;NÃO
ADS;1º Semestre;Sistemas Operacionais;NÃO
ADS;2º Semestre;Banco de Dados I;NÃO
ADS;2º Semestre;Desenvolvimento Web para Dispositivos Móveis;NÃO
ADS;2º Semestre;Engenharia de Software I;NÃO
ADS;2º Semestre;Programação Orientada a Objetos;NÃO
ADS;2º Semestre;Programação Web;NÃO
ADS;3º Semestre;Algoritmos e Estruturas de Dados I;NÃO
ADS;3º Semestre;Banco de Dados II;NÃO
ADS;3º Semestre;Desenvolvimento de Serviços e APIs;NÃO
ADS;3º Semestre;Engenharia de Software II;NÃO
ADS;3º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
ADS;3º Semestre;Fundamentos de Redes de Computadores;NÃO
ADS;4º Semestre;Algoritmos e Estruturas de Dados II;NÃO
ADS;4º Semestre;Fundamentos de Computação em Nuvem;NÃO
ADS;4º Semestre;Fundamentos de DevOps;NÃO
ADS;4º Semestre;Gestão Ágil de Projetos;NÃO
ADS;4º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
ADS;4º Semestre;Programação Full Stack;NÃO
ADS;5º Semestre;Arquiteturas de Computação em Nuvem;NÃO
ADS;5º Semestre;Empreendedorismo;NÃO
ADS;5º Semestre;Frameworks Web;NÃO
ADS;5º Semestre;Inteligência Artificial;NÃO
ADS;5º Semestre;Projeto de Desenvolvimento I;NÃO
ADS;5º Semestre;Qualidade de Software;NÃO
ADS;6º Semestre;Aprendizado de Máquina I;SIM
ADS;6º Semestre;Comunicação Criativa;SIM
ADS;6º Semestre;Comunicação de Dados;SIM
ADS;6º Semestre;Desenvolvimento Gráfico;SIM
ADS;6º Semestre;Fundamentos de Ciência de Dados;SIM
ADS;6º Semestre;Fundamentos do Design;SIM
ADS;6º Semestre;Internet das Coisas - IoT;NÃO
ADS;6º Semestre;Introdução à Cibersegurança;NÃO
ADS;6º Semestre;Introdução a Criptografia;SIM
ADS;6º Semestre;Língua Brasileira de Sinais - Libras;SIM
ADS;6º Semestre;Manipulação e Visualização de Dados;SIM
ADS;6º Semestre;Projeto de Desenvolvimento II;NÃO
ADS;6º Semestre;Redes Neurais e Aprendizado Profundo;SIM
ADS;6º Semestre;Sistemas Operacionais de Redes - Linux;SIM
ADS;6º Semestre;Sistemas Operacionais de Redes - Windows;SIM
ADS;6º Semestre;Tópicos Avançados em Tecnologia;NÃO
ADS;6º Semestre;Transformação Digital;SIM
ADS;6º Semestre;Web Design;SIM
MODA;1º Semestre;Confecção I;NÃO
MODA;1º Semestre;Desenho Básico;NÃO
MODA;1º Semestre;História da Moda;NÃO
MODA;1º Semestre;Modelagem I;NÃO
MODA;1º Semestre;Produção de Moda;NÃO
MODA;2º Semestre;Confecção II;NÃO
MODA;2º Semestre;Desenho de Moda;NÃO
MODA;2º Semestre;Design: Teoria e História;NÃO
MODA;2º Semestre;Estudos de Materiais Texteis;NÃO
MODA;2º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
MODA;2º Semestre;Modelagem II;NÃO
MODA;3º Semestre;Confecção III;NÃO
MODA;3º Semestre;Criação de Produtos de Moda;NÃO
MODA;3º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
MODA;3º Semestre;Modelagem III;NÃO
MODA;3º Semestre;Pesquisa de Tendências de Moda;NÃO
MODA;3º Semestre;Produção de Vídeo;NÃO
MODA;4º Semestre;Coleção de Moda;NÃO
MODA;4º Semestre;Cultura, Identidade e Comportamento;NÃO
MODA;4º Semestre;Desenho Técnico Digital de Moda;NÃO
MODA;4º Semestre;Modelagem Experimental Avançada;NÃO
MODA;4º Semestre;Pesquisa de Consumo e Mercado;NÃO
MODA;5º Semestre;Branding;SIM
MODA;5º Semestre;Comunicação Criativa;SIM
MODA;5º Semestre;Desenvolvimento Gráfico;SIM
MODA;5º Semestre;Efeitos Especiais;SIM
MODA;5º Semestre;Empreendedorismo;NÃO
MODA;5º Semestre;Estratégias de Marketing Digital;SIM
MODA;5º Semestre;Fotografia;SIM
MODA;5º Semestre;Fundamentos do Design;SIM
MODA;5º Semestre;Gestão de Vendas;SIM
MODA;5º Semestre;Inovação e Desenvolvimento de Produtos;SIM
MODA;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
MODA;5º Semestre;Marketing do Varejo e Serviços;SIM
MODA;5º Semestre;Marketing Estratégico;SIM
MODA;5º Semestre;Mercados Internacionais e Negócios;SIM
MODA;5º Semestre;Modelagem Digital;NÃO
MODA;5º Semestre;Novas Mídias;SIM
MODA;5º Semestre;Pesquisa e Tendências de Consumo;SIM
MODA;5º Semestre;Prática Profissional: Projeto de Moda;NÃO
MODA;5º Semestre;Precificação e Valor de Mercado;SIM
MODA;5º Semestre;Produção de Áudio;SIM
MODA;5º Semestre;Produção de Conteúdo e Storytelling;SIM
IA;1º Semestre;Fundamentos de Ciência de Dados;NÃO
IA;1º Semestre;Fundamentos de Redes de Computadores;NÃO
IA;1º Semestre;Lógica de Programação;NÃO
IA;1º Semestre;Manipulação e Visualização de Dados;NÃO
IA;1º Semestre;Probabilidade e Estatística I;NÃO
IA;2º Semestre;Banco de Dados I;NÃO
IA;2º Semestre;Estruturas de Dados para Ciência de Dados;NÃO
IA;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
IA;2º Semestre;Extração e Análise de Dados;NÃO
IA;2º Semestre;Probabilidade e Estatística II;NÃO
IA;2º Semestre;Programação Orientada a Objetos;NÃO
IA;3º Semestre;Banco de Dados II;NÃO
IA;3º Semestre;Banco de Dados NoSQL;NÃO
IA;3º Semestre;Inteligência Artificial;NÃO
IA;3º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
IA;3º Semestre;Metodologias e Engenharia de Requisitos;NÃO
IA;3º Semestre;Mineração de Dados e Inteligência de Negócio;NÃO
IA;4º Semestre;Aprendizado de Máquina I;NÃO
IA;4º Semestre;Empreendedorismo;NÃO
IA;4º Semestre;Engenharia de Dados;NÃO
IA;4º Semestre;Fundamentos de Computação em Nuvem;NÃO
IA;4º Semestre;Pesquisa Operacional e Otimização;NÃO
IA;4º Semestre;Redes Neurais e Aprendizado Profundo;NÃO
IA;5º Semestre;Aprendizado de Máquina II;NÃO
IA;5º Semestre;Big Data;NÃO
IA;5º Semestre;Processamento de Linguagem Natural;NÃO
IA;5º Semestre;Projeto de Desenvolvimento I;NÃO
IA;5º Semestre;Transformação Digital;NÃO
IA;5º Semestre;Visão Computacional;NÃO
IA;6º Semestre;Algoritmos e Estruturas de Dados I;SIM
IA;6º Semestre;Algoritmos e Estruturas de Dados II;SIM
IA;6º Semestre;Arquiteturas de Computação em Nuvem;SIM
IA;6º Semestre;Data e Machine Learning Operations;NÃO
IA;6º Semestre;Desenvolvimento de Interfaces para Web;SIM
IA;6º Semestre;Gestão Ágil de Projetos;SIM
IA;6º Semestre;Gestão de TI;SIM
IA;6º Semestre;Internet das Coisas - IoT;SIM
IA;6º Semestre;Introdução à Cibersegurança;NÃO
IA;6º Semestre;Programação Web;SIM
IA;6º Semestre;Projeto de Desenvolvimento II;NÃO
IA;6º Semestre;Tópicos Avançados em Tecnologia;NÃO
IA;6º Semestre;Experiência do Usuário e Design de Interface;SIM
MKT;1º Semestre;Comunicação Criativa;NÃO
MKT;1º Semestre;Fundamentos do Design;NÃO
MKT;1º Semestre;Gestão de Vendas;NÃO
MKT;1º Semestre;Marketing Estratégico;NÃO
MKT;1º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
MKT;2º Semestre;Análise de Cenários Econômicos Globais;NÃO
MKT;2º Semestre;Branding;NÃO
MKT;2º Semestre;Cultura e Clima Organizacional;NÃO
MKT;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
MKT;2º Semestre;Experiência do Usuário e Design de Interface;NÃO
MKT;2º Semestre;Pesquisa e Tendências de Consumo;NÃO
MKT;3º Semestre;Análise e Ciência de Dados;NÃO
MKT;3º Semestre;Logística Integrada;NÃO
MKT;3º Semestre;Marketing do Varejo e Serviços;NÃO
MKT;3º Semestre;Precificação e Valor de Mercado;NÃO
MKT;3º Semestre;Produção de Vídeo;NÃO
MKT;4º Semestre;Empreendedorismo;NÃO
MKT;4º Semestre;Estratégias de Marketing Digital;NÃO
MKT;4º Semestre;Inovação e Desenvolvimento de Produtos;NÃO
MKT;4º Semestre;Produção de Conteúdo e Storytelling;NÃO
MKT;4º Semestre;Projeto Integrador - Gestão Ágil e Inovação;NÃO
MKT;5º Semestre;Criação de Roteiros;SIM
MKT;5º Semestre;Cultura, Identidade e Comportamento;SIM
MKT;5º Semestre;Desenho Básico;SIM
MKT;5º Semestre;Desenvolvimento Gráfico;SIM
MKT;5º Semestre;Fotografia;SIM
MKT;5º Semestre;Gamificação Empresarial;NÃO
MKT;5º Semestre;Gestão da Cadeia de Suprimentos;SIM
MKT;5º Semestre;Liderança Estratégica;SIM
MKT;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
MKT;5º Semestre;Mercados Internacionais e Negócios;SIM
MKT;5º Semestre;Métricas e Performance Digital;NÃO
MKT;5º Semestre;Produção de Áudio;SIM
MKT;5º Semestre;Produção de Moda;SIM
MKT;5º Semestre;Projeto Integrador - Consultoria Organizacional;NÃO
MKT;5º Semestre;Tópicos Especiais em Marketing;NÃO
PG;1º Semestre;Gestão da Cadeia de Suprimentos;NÃO
PG;1º Semestre;Gestão de Vendas;NÃO
PG;1º Semestre;Marketing Estratégico;NÃO
PG;1º Semestre;Modelos de Negócios;NÃO
PG;1º Semestre;Raciocínio Lógico;NÃO
PG;2º Semestre;Análise de Cenários Econômicos Globais;NÃO
PG;2º Semestre;Contabilidade Empresarial;NÃO
PG;2º Semestre;Cultura e Clima Organizacional;NÃO
PG;2º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
PG;2º Semestre;Matemática para Negócios;NÃO
PG;2º Semestre;Pesquisa e Tendências de Consumo;NÃO
PG;3º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
PG;3º Semestre;Logística Integrada;NÃO
PG;3º Semestre;Mercados Internacionais e Negócios;NÃO
PG;3º Semestre;Precificação e Valor de Mercado;NÃO
PG;3º Semestre;Sistemas de Produção e Operações;NÃO
PG;4º Semestre;Business Intelligence e Análise Preditiva;NÃO
PG;4º Semestre;Estratégias de Marketing Digital;NÃO
PG;4º Semestre;Legislação e Práticas Trabalhistas;NÃO
PG;4º Semestre;Liderança Estratégica;NÃO
PG;4º Semestre;Projeto Integrador - Gestão Ágil e Inovação;NÃO
PG;5º Semestre;Branding;SIM
PG;5º Semestre;Comunicação Criativa;SIM
PG;5º Semestre;Empreendedorismo;NÃO
PG;5º Semestre;Fundamentos do Design;SIM
PG;5º Semestre;Gamificação Empresarial;NÃO
PG;5º Semestre;Inovação e Desenvolvimento de Produtos;SIM
PG;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
PG;5º Semestre;Manipulação e Visualização de Dados;SIM
PG;5º Semestre;Marketing do Varejo e Serviços;SIM
PG;5º Semestre;Métricas e Performance Digital;SIM
PG;5º Semestre;Planejamento e Gestão Financeira;NÃO
PG;5º Semestre;Produção de Conteúdo e Storytelling;SIM
PG;5º Semestre;Produção de Vídeo;SIM
PG;5º Semestre;Projeto Integrador - Consultoria Organizacional;NÃO
PG;5º Semestre;Tópicos Avançados em Tecnologia;SIM
PMM;1º Semestre;Comunicação Criativa;NÃO
PMM;1º Semestre;Desenho Básico;NÃO
PMM;1º Semestre;Desenvolvimento Gráfico;NÃO
PMM;1º Semestre;Fundamentos do Design;NÃO
PMM;1º Semestre;Ilustração Digital;NÃO
PMM;1º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
PMM;2º Semestre;Criação de Roteiros;NÃO
