turma;curso_prefixo;disciplina;turno;dia_semana;sala;professor;vagas;alunos
PM4N26/2;PM;Projeto Multimídia I;NOITE;SEG;102;FABRIZZIA BOCACCIO CINEL LACERDA;30;10
PM1N26/2;PM;Fundamentos do Design;NOITE;QUA;102;FABRIZZIA BOCACCIO CINEL LACERDA;30;30
PM1N26/2;PM;Comunicação Criativa;NOITE;TER;102;FELIPE RODRIGO BORBA DA ROSA;30;30
PM2N26/2;PM;Fotografia;NOITE;QUI;102;ALEXANDRE DAVI BORGES;30;19
PM4N26/2;PM;Efeitos Especiais;NOITE;SEX;102;FABRICIO AUGUSTO KIPPER;30;13
RD4N26/2;RD;Roteamento Avançado;NOITE;SEG;103;MARCIO POHLMANN;30;17
RD6N26/2;RD;Monitoramento, Gerenciamento e Telemetria;NOITE;QUA;103;MARCIO POHLMANN;30;10
IA2N26/2;IA;Extração e Análise de Dados;NOITE;SEX;103;LUCAS GABRIEL FERREIRA ALVES;30;8
DM2N26/2;DM;Modelagem II;NOITE;QUI;207;DEBORA IDALGO PAIM MARQUES;40;19
DM2N26/2;DM;Desenho de Moda;NOITE;QUA;206;MARIOARA GRALHA FEIJO;20;19
DM2N26/2;DM;Estudos de Materiais Texteis;NOITE;SEG;206;CRISTIANO DA CUNHA PEREIRA;40;17
DM1M26/2;DM;Desenho Básico;MANHA;SEX;206;MARIOARA GRALHA FEIJO;30;26
DM1M26/2;DM;Produção de Moda;MANHA;TER;206;NICELE DE DAVID BRANDA;40;22
DM1N26/2;DM;Desenho Básico;NOITE;SEX;206;INSTRUTOR A DEFINIR;30;21
DM1M26/2;DM;Modelagem I;MANHA;QUA;207;LIVIA ACCIOLY MENEZES DA SILVA;40;20
DM2M26/2;DM;Modelagem II;MANHA;QUI;207;DEBORA IDALGO PAIM MARQUES;40;12
DM3N26/2;DM;Confecção III;NOITE;QUI;208;LIVIA ACCIOLY MENEZES DA SILVA;40;12
DM1N26/2;DM;Modelagem I;NOITE;QUA;207;LIVIA ACCIOLY MENEZES DA SILVA;40;13
DM3N26/2;DM;Modelagem III;NOITE;SEX;207;JULIA ISOPPO PICOLI;40;13
DM4M26/2;DM;Modelagem Experimental Avançada;MANHA;TER;207;JULIA ISOPPO PICOLI;40;11
DM1M26/2;DM;Confecção I;MANHA;SEG;208;LIVIA ACCIOLY MENEZES DA SILVA;30;19
DM1N26/2;DM;Confecção I;NOITE;SEG;208;LIVIA ACCIOLY MENEZES DA SILVA;30;16
PG4N26/2;PG;Legislação e Práticas Trabalhistas;NOITE;QUI;302;SANDRO CELESTINO DA ROSA WOLLENHAUPT;30;17
DM2M26/2;DM;Confecção II;MANHA;SEX;208;DEBORA IDALGO PAIM MARQUES;30;15
DM2N26/2;DM;Confecção II;NOITE;SEX;208;DEBORA IDALGO PAIM MARQUES;30;19
PG2N26/2;PG;Matemática para Negócios;NOITE;QUI;303;MAGDA LEYSER;15;13
PG4N26/2;PG;Liderança Estratégica;NOITE;QUA;302;NEREIDA PRUDENCIO VIANNA;30;30
PG2N26/2;PG;Cultura e Clima Organizacional;NOITE;SEG;302;NEREIDA PRUDENCIO VIANNA;30;30
MK2N26/2;MK;Branding;NOITE;QUI;305;MURIEL FELTEN PINHEIRO;30;23
PG1N26/2;PG;Raciocínio Lógico;NOITE;TER;305;MAGDA LEYSER;40;40
PG2N26/2;PG;Contabilidade Empresarial;NOITE;SEX;305;Fabrício Nathanael Martha;30;27
MK2N26/2;MK;Pesquisa e Tendências de Consumo;NOITE;QUA;305;DEBORA FERREIRA COELHO;40;40
MK4N26/2;MK;Inovação e Desenvolvimento de Produtos;NOITE;SEG;303;MURIEL FELTEN PINHEIRO;30;10
PM1M26/2;PM;Fundamentos do Design;MANHA;QUA;308;FABRIZZIA BOCACCIO CINEL LACERDA;30;21
PM1M26/2;PM;Desenvolvimento Gráfico;MANHA;SEG;308;ALEXANDRE DAVI BORGES;30;9
PM5M26/2;PM;Projeto Multimídia II;MANHA;QUI;308;FABRIZZIA BOCACCIO CINEL LACERDA;20;10
PM5N26/2;PM;Projeto Multimídia II;NOITE;QUI;308;FABRIZZIA BOCACCIO CINEL LACERDA;20;13
PM1M26/2;PM;Comunicação Criativa;MANHA;TER;308;FELIPE RODRIGO BORBA DA ROSA;30;20
PM4N26/2;PM;Jogos Digitais;NOITE;TER;308;FELIPE PERUZZO MILKEWICZ;30;5
MK3N26/2;MK;Marketing do Varejo e Serviços;NOITE;SEG;305;DEBORA FERREIRA COELHO;30;23
PM2M26/2;PM;Introdução ao 3D;MANHA;QUA;309;FELIPE PERUZZO MILKEWICZ;30;18
PM2M26/2;PM;Criação de Roteiros;MANHA;SEG;309;ANAURELINO NEGRI DA COSTA SILVA;30;23
PM3M26/2;PM;Personagem 3D;MANHA;QUI;309;FELIPE PERUZZO MILKEWICZ;30;16
PM4M26/2;PM;Efeitos Especiais;MANHA;SEX;309;FABRICIO AUGUSTO KIPPER;30;3
MK3N26/2;MK;Análise e Ciência de Dados;NOITE;SEX;308;VITOR HUGO DA SILVA LOPES;20;20
IA1N26/2;IA;Fundamentos de Ciência de Dados;NOITE;QUI;309;VITOR HUGO DA SILVA LOPES;30;24
PM4M26/2;PM;Jogos Digitais;MANHA;TER;309;FELIPE PERUZZO MILKEWICZ;30;0
IA3N26/2;IA;Banco de Dados NoSQL;NOITE;TER;309;LUCAS GABRIEL FERREIRA ALVES;30;8
PM2N26/2;PM;Introdução ao 3D;NOITE;QUA;309;FELIPE PERUZZO MILKEWICZ;30;11
PM1N26/2;PM;Desenvolvimento Gráfico;NOITE;SEG;308;ALEXANDRE DAVI BORGES;30;19
PM4M26/2;PM;Projeto Multimídia I;MANHA;SEG;310;FABRIZZIA BOCACCIO CINEL LACERDA;30;5
RD6N26/2;RD;Tópicos Avançados em Redes e Segurança;NOITE;TER;310;JULIO CARNEVALE DE ALMEIDA;30;7
MK5N26/2;MK;Projeto Integrador - Consultoria Organizacional;NOITE;QUA;304;MARCELO VIANNA BATISTA;30;11
PM2N26/2;PM;Criação de Roteiros;NOITE;SEG;309;ANAURELINO NEGRI DA COSTA SILVA;30;11
RD3N26/2;RD;Automação e Programabilidade em Redes;NOITE;QUI;312;ROBERTO DOS SANTOS OLIVEIRA;30;11
MK5N26/2;MK;Métricas e Performance Digital;NOITE;TER;311;ROBERTO DOS SANTOS OLIVEIRA;30;16
IA3N26/2;IA;Metodologias e Engenharia de Requisitos;NOITE;SEX;309;MARIANA MOTTA FLECK;30;11
RD4N26/2;RD;Redes sem Fio;NOITE;TER;312;MARCIO JOEL BARTH;30;10
